ntd_id,Agency,UZA Name,Reporter Type,months,pre_vrm,mean_speed,agency_upper,uza_upper,excluded_nyc_area,full_window,eligible_donor
90154,Los Angeles County Metropolitan Transportation Authority ,"Los Angeles--Long Beach--Anaheim, CA",Full Reporter,34,100590040.0,10.21734045540516,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY ,"LOS ANGELES--LONG BEACH--ANAHEIM, CA",False,True,True
50066,Chicago Transit Authority,"Chicago, IL--IN",Full Reporter,34,68740740.0,9.09251292194554,CHICAGO TRANSIT AUTHORITY,"CHICAGO, IL--IN",False,True,True
30030,Washington Metropolitan Area Transit Authority,"Washington--Arlington, DC--VA--MD",Full Reporter,34,54734133.0,9.719217502587046,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,"WASHINGTON--ARLINGTON, DC--VA--MD",False,True,True
30019,Southeastern Pennsylvania Transportation Authority,"Philadelphia, PA--NJ--DE--MD",Full Reporter,34,53796293.0,10.201183925896974,SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY,"PHILADELPHIA, PA--NJ--DE--MD",False,True,True
60008,"Metropolitan Transit Authority of Harris County, Texas ","Houston, TX",Full Reporter,34,53085099.0,12.604594080734467,"METROPOLITAN TRANSIT AUTHORITY OF HARRIS COUNTY, TEXAS ","HOUSTON, TX",False,True,True
00001,King County,"Seattle--Tacoma, WA",Full Reporter,34,48252837.0,10.089906740845901,KING COUNTY,"SEATTLE--TACOMA, WA",False,True,True
80006,Denver Regional Transportation District,"Denver--Aurora, CO",Full Reporter,34,36379016.0,12.006142276748882,DENVER REGIONAL TRANSPORTATION DISTRICT,"DENVER--AURORA, CO",False,True,True
60056,Dallas Area Rapid Transit,"Dallas--Fort Worth--Arlington, TX",Full Reporter,34,36116257.0,12.857683703671215,DALLAS AREA RAPID TRANSIT,"DALLAS--FORT WORTH--ARLINGTON, TX",False,True,True
40034,County of Miami-Dade ,"Miami--Fort Lauderdale, FL",Full Reporter,34,34637730.0,12.23177778743868,COUNTY OF MIAMI-DADE ,"MIAMI--FORT LAUDERDALE, FL",False,True,True
40022,Metropolitan Atlanta Rapid Transit Authority,"Atlanta, GA",Full Reporter,34,34330773.0,12.736242340521027,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,"ATLANTA, GA",False,True,True
50113,"Pace, the Suburban Bus Division of the Regional Transportation Authority","Chicago, IL--IN",Full Reporter,34,32947741.0,14.224484110284674,"PACE, THE SUBURBAN BUS DIVISION OF THE REGIONAL TRANSPORTATION AUTHORITY","CHICAGO, IL--IN",False,True,True
10003,Massachusetts Bay Transportation Authority,"Boston, MA--NH",Full Reporter,34,31604920.0,9.215817669884162,MASSACHUSETTS BAY TRANSPORTATION AUTHORITY,"BOSTON, MA--NH",False,True,True
00008,Tri-County Metropolitan Transportation District of Oregon,"Portland, OR--WA",Full Reporter,34,29629888.0,10.963482710120111,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,"PORTLAND, OR--WA",False,True,True
90026,San Diego Metropolitan Transit System,"San Diego, CA",Full Reporter,34,28949042.0,10.886349632206064,SAN DIEGO METROPOLITAN TRANSIT SYSTEM,"SAN DIEGO, CA",False,True,True
30022,Pittsburgh Regional Transit,"Pittsburgh, PA",Full Reporter,34,26578229.0,12.520981576332847,PITTSBURGH REGIONAL TRANSIT,"PITTSBURGH, PA",False,True,True
50027,Metro Transit ,"Minneapolis--St. Paul, MN",Full Reporter,34,26308795.0,11.623967448336602,METRO TRANSIT ,"MINNEAPOLIS--ST. PAUL, MN",False,True,True
90002,City and County of Honolulu,"Honolulu, HI",Full Reporter,34,26194810.0,12.94341912933215,CITY AND COUNTY OF HONOLULU,"HONOLULU, HI",False,True,True
90045,Regional Transportation Commission of Southern Nevada,"Las Vegas--Henderson--Paradise, NV",Full Reporter,34,26120165.0,12.430849249550063,REGIONAL TRANSPORTATION COMMISSION OF SOUTHERN NEVADA,"LAS VEGAS--HENDERSON--PARADISE, NV",False,True,True
90015,City and County of San Francisco,"San Francisco--Oakland, CA",Full Reporter,34,26097706.0,7.240219011797229,CITY AND COUNTY OF SAN FRANCISCO,"SAN FRANCISCO--OAKLAND, CA",False,True,True
60011,VIA Metropolitan Transit,"San Antonio, TX",Full Reporter,34,25482403.0,13.046072347118336,VIA METROPOLITAN TRANSIT,"SAN ANTONIO, TX",False,True,True
90014,Alameda-Contra Costa Transit District,"San Francisco--Oakland, CA",Full Reporter,34,24848623.0,9.984272496038399,ALAMEDA-CONTRA COSTA TRANSIT DISTRICT,"SAN FRANCISCO--OAKLAND, CA",False,True,True
90036,Orange County Transportation Authority,"Los Angeles--Long Beach--Anaheim, CA",Full Reporter,34,24057196.0,11.532211846522939,ORANGE COUNTY TRANSPORTATION AUTHORITY,"LOS ANGELES--LONG BEACH--ANAHEIM, CA",False,True,True
50008,Milwaukee County,"Milwaukee, WI",Full Reporter,34,23263737.0,12.564448236536224,MILWAUKEE COUNTY,"MILWAUKEE, WI",False,True,True
80001,Utah Transit Authority,"Salt Lake City, UT",Full Reporter,34,23227097.0,12.111349086615643,UTAH TRANSIT AUTHORITY,"SALT LAKE CITY, UT",False,True,True
40035,Central Florida Regional Transportation Authority,"Orlando, FL",Full Reporter,34,22750247.0,13.438463005820614,CENTRAL FLORIDA REGIONAL TRANSPORTATION AUTHORITY,"ORLANDO, FL",False,True,True
90013,Santa Clara Valley Transportation Authority,"San Jose, CA",Full Reporter,34,22578855.0,11.398281441374023,SANTA CLARA VALLEY TRANSPORTATION AUTHORITY,"SAN JOSE, CA",False,True,True
40029,Broward County Board of County Commissioners,"Miami--Fort Lauderdale, FL",Full Reporter,34,20495932.0,12.245965924393385,BROWARD COUNTY BOARD OF COUNTY COMMISSIONERS,"MIAMI--FORT LAUDERDALE, FL",False,True,True
60048,Capital Metropolitan Transportation Authority,"Austin, TX",Full Reporter,34,20467320.0,11.121250941587036,CAPITAL METROPOLITAN TRANSPORTATION AUTHORITY,"AUSTIN, TX",False,True,True
50015,The Greater Cleveland Regional Transit Authority,"Cleveland, OH",Full Reporter,34,19476898.0,12.302248147160721,THE GREATER CLEVELAND REGIONAL TRANSIT AUTHORITY,"CLEVELAND, OH",False,True,True
70006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,"St. Louis, MO--IL",Full Reporter,34,17600213.0,13.64626142940746,BI-STATE DEVELOPMENT AGENCY OF THE MISSOURI-ILLINOIS METROPOLITAN DISTRICT,"ST. LOUIS, MO--IL",False,True,True
90136,Regional Public Transportation Authority,"Phoenix--Mesa--Scottsdale, AZ",Full Reporter,34,16927921.0,12.121770077555365,REGIONAL PUBLIC TRANSPORTATION AUTHORITY,"PHOENIX--MESA--SCOTTSDALE, AZ",False,True,True
90146,Foothill Transit,"Los Angeles--Long Beach--Anaheim, CA",Full Reporter,34,16553173.0,13.910516553865463,FOOTHILL TRANSIT,"LOS ANGELES--LONG BEACH--ANAHEIM, CA",False,True,True
50012,Southwest Ohio Regional Transit Authority,"Cincinnati, OH--KY",Full Reporter,34,16043391.0,13.542988647694752,SOUTHWEST OHIO REGIONAL TRANSIT AUTHORITY,"CINCINNATI, OH--KY",False,True,True
30068,"Fairfax County, VA","Washington--Arlington, DC--VA--MD",Full Reporter,34,15766721.0,13.398154383219193,"FAIRFAX COUNTY, VA","WASHINGTON--ARLINGTON, DC--VA--MD",False,True,True
50016,Central Ohio Transit Authority,"Columbus, OH",Full Reporter,34,15290540.0,12.132274838677102,CENTRAL OHIO TRANSIT AUTHORITY,"COLUMBUS, OH",False,True,True
