month,treated_centered_speed,synthetic_centered_speed,gap_mph,post
2023-08-01,0.2558082836530158,0.009152630421327652,0.24665565323168812,False
2023-09-01,-0.22050811040575002,-0.061562240399315654,-0.15894587000643437,False
2023-10-01,-0.1446478944396521,-0.07889270647178252,-0.06575518796786957,False
2023-11-01,-0.1261239768781932,-0.055438444414353694,-0.07068553246383952,False
2023-12-01,-0.06641595505414166,-0.10388914496659173,0.037473189912450064,False
2024-01-01,0.13340179526864926,0.10325398250554392,0.03014781276310534,False
2024-02-01,0.10682008606944304,0.08486723036776286,0.02195285570168018,False
2024-03-01,0.008014681700651671,0.05117036573510723,-0.043155684034455556,False
2024-04-01,0.012786947154509676,-0.016132126726263532,0.028919073880773208,False
2024-05-01,-0.16626838176609215,-0.1258240277251053,-0.04044435404098687,False
2024-06-01,0.02404798480479009,0.13235740601627535,-0.10830942121148526,False
2024-07-01,0.2483484161020284,0.07138236062224086,0.17696605547978755,False
2024-08-01,0.33788783573347647,0.10805040741765004,0.22983742831582643,False
2024-09-01,-0.1863382937841278,-0.19280059451497744,0.006462300730849635,False
2024-10-01,-0.11681324903194845,0.06725327140829801,-0.18406652044024646,False
2024-11-01,-0.10740548267402072,0.01755906834851547,-0.1249645510225362,False
2024-12-01,0.007405313547360848,-0.010507437624338287,0.017912751171699135,False
2025-01-01,0.3139627217215164,-0.16078080138591025,0.4747435231074266,True
2025-02-01,0.3997152647194966,0.009198588242712614,0.39051667647678395,True
2025-03-01,0.23127208697868173,-0.020139073120075086,0.2514111600987568,True
2025-04-01,0.18437323686906293,-0.020842426667301704,0.20521566353636464,True
2025-05-01,-0.010711855085141053,-0.017527546361665838,0.006815691276524784,True
2025-06-01,0.11062267784753654,0.01925961430320769,0.09136306354432885,True
2025-07-01,0.13200518542032036,0.029354248585851433,0.10265093683446892,True
2025-08-01,0.28698765672851057,0.0936521369269788,0.19333551980153177,True
2025-09-01,-0.1739062072588311,-0.013196217759070957,-0.16070998949976015,True
2025-10-01,-0.05520229927736864,-0.0324555858976798,-0.022746713379688838,True
2025-11-01,-0.023957163190383213,0.01993022363814327,-0.043887386828526484,True
2025-12-01,0.028856217101686177,-0.04291365191223669,0.07176986901392288,True
2026-01-01,0.22645501950496705,-0.0709357842182323,0.29739080372319937,True
2026-02-01,-0.13963653124411302,-0.07296404262375135,-0.06667248862036167,True
2026-03-01,0.1454680489967588,-0.05102774778356804,0.19649579678032686,True
2026-04-01,0.11515277026990667,-0.11083292219956949,0.22598569246947614,True
2026-05-01,-0.014920429808652713,-0.1398219837616973,0.12490155395304459,True
