route_id,cbd_route,geojson_cbd_relation_inferred,max_share_length_in_cbd,total_share_length_in_cbd,boroughs_in_bus_speeds,has_staten_island_rows,cbd_bus_routes_relation,in_cbd_bus_routes,cbd_bus_speeds_relations,has_cbd_segment_in_cbd_bus_speeds,in_cbd_bus_speeds,route_in_analysis_outcome,has_non_staten_island_rows,all_outcome_has_staten_island_rows,all_outcome_window_boroughs,dropped_shape_count,dropped_has_outcome,dropped_reason,in_any_old_cbd_source,comparison_flag
B1,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B100,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B103,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B11,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B12,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B13,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B14,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B15,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B16,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B17,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B2,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B20,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B24,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B25,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B26,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B3,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B31,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B32,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B35,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B36,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B37,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B38,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B39,True,Crossing CBD,0.48516178296603524,0.4635514125935027,Brooklyn,False,Crossing CBD,True,CBD,True,True,True,True,False,Brooklyn,,False,,True,
B4,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B41,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B42,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B43,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B44,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B44+,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B45,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B46,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B46+,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B47,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B48,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B49,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
B52,False,Non-CBD,0.0,0.0,Brooklyn,False,,False,NON-CBD,False,True,True,True,False,Brooklyn,,False,,False,
